순위,영화명,개봉일,매출액,매출액 점유율,관객수,스크린수,대표국적,국적,배급사
146,극장판 소드 아트 온라인 -오디널 스케일-,2017-02-23,"897,598,000",0.1%,"117,401",124,일본,일본,(주)박수엔터테인먼트
147,여교사,2017-01-04,"947,192,460",0.1%,"116,851",393,한국,한국,필라멘트픽쳐스
148,직쏘,2017-11-02,"972,332,500",0.1%,"111,506",175,미국,미국,㈜코리아스크린
149,베이블레이드 버스트 갓 : 갓 발키리의 탄생,2017-06-01,"827,511,500",0.0%,"109,358",198,일본,일본,씨제이이앤엠(주)
150,라이언,2017-02-01,"778,355,700",0.0%,"104,218",205,호주,"호주,영국,미국",(주)이수C&E
151,더 테이블,2017-08-24,"830,762,100",0.0%,"103,054",272,한국,한국,(주)엣나인필름
152,루시드 드림,2017-02-22,"759,481,000",0.0%,"102,170",461,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
153,딥워터 호라이즌,2017-01-25,"775,611,543",0.0%,"100,021",433,미국,미국,메가박스중앙(주)플러스엠
154,슈퍼 빼꼼: 스파이 대작전,2017-05-03,"711,134,900",0.0%,"99,480",358,한국,한국,메가박스중앙(주)플러스엠
155,김광석,2017-08-30,"772,483,500",0.0%,"98,231",223,한국,한국,(주)비엠컬쳐스
156,다크타워: 희망의 탑,2017-08-23,"761,759,275",0.0%,"97,017",497,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
157,인비저블 게스트,2017-09-21,"762,930,200",0.0%,"94,877",232,스페인,스페인,(주)더블앤조이픽쳐스
158,사일런스,2017-02-28,"700,818,300",0.0%,"94,750",342,미국,"미국,대만,멕시코",씨네그루(주)키다리이엔티
159,노 게임 노 라이프 -제로-,2017-10-19,"738,618,300",0.0%,"90,643",121,일본,일본,(주)박수엔터테인먼트
160,몬스터 콜,2017-09-14,"699,851,900",0.0%,"89,560",349,스페인,스페인,롯데쇼핑㈜롯데엔터테인먼트
161,지랄발광 17세,2017-06-28,"656,251,800",0.0%,"83,258",90,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
162,파도가 지나간 자리,2017-03-08,"638,371,200",0.0%,"82,717",276,미국,"미국,뉴질랜드,영국",CGV아트하우스
163,원더,2017-12-27,"632,389,700",0.0%,"81,680",183,미국,미국,CGV아트하우스
164,꼬마참새 리차드: 아프리카 원정대,2017-06-15,"599,076,600",0.0%,"81,136",319,독일,"독일,벨기에,룩셈부르크,노르웨이",씨네그루(주)키다리이엔티
165,너와 100번째 사랑,2017-05-25,"632,544,500",0.0%,"80,415",140,일본,일본,(주)디스테이션
166,드래곤 스펠: 마법 꽃의 비밀,2017-08-15,"582,071,200",0.0%,"79,446",164,독일,"독일,우크라이나",㈜코리아스크린
167,오즈: 신기한 마법가루,2017-07-20,"565,456,600",0.0%,"78,440",343,러시아,러시아,(주)스마일이엔티
168,오두막,2017-04-20,"581,005,200",0.0%,"75,657",396,미국,미국,판씨네마(주)
169,패트리어트 데이,2017-04-06,"593,983,618",0.0%,"74,827",375,미국,미국,(주)이수C&E
170,바다 탐험대 옥토넛 시즌4: 더 파이널,2017-06-01,"481,425,000",0.0%,"73,797",167,영국,영국,와이드 릴리즈(주)
171,파워레인져스: 더 비기닝,2017-04-20,"570,203,561",0.0%,"72,495",479,미국,미국,(주)넥스트엔터테인먼트월드(NEW)
172,더 서클,2017-06-22,"578,129,700",0.0%,"71,362",169,미국,미국,씨네그루(주)키다리이엔티
173,극장판 파워레인저: 애니멀포스 VS 닌자포스 미래에서 온 메시지,2017-11-09,"501,257,700",0.0%,"65,895",370,일본,일본,(주)넥스트엔터테인먼트월드(NEW)
174,포켓몬 더 무비 XY&Z 「볼케니온 : 기계왕국의 비밀」,2016-12-22,"480,445,900",0.0%,"63,372",480,일본,일본,(주)이수C&E
175,뷰티풀 투모로우,2017-10-26,"552,273,700",0.0%,"63,279",47,한국,한국,씨제이 씨지브이(CJ CGV)(주)
176,리틀 프린세스 소피아 : 신비한 섬,2017-09-28,"441,475,500",0.0%,"62,454",135,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
177,극장판 쿠로코의 농구 라스트 게임,2017-04-27,"462,290,000",0.0%,"62,393",96,일본,일본,(주)박수엔터테인먼트
178,더 크리스마스,2017-12-21,"461,785,500",0.0%,"62,082",158,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
179,바다 탐험대 옥토넛 시즌4: 바다 괴물 대소동,2017-01-25,"404,919,500",0.0%,"60,935",145,영국,영국,와이드 릴리즈(주)
180,나의 붉은고래,2017-06-15,"445,520,500",0.0%,"58,449",390,중국,중국,(주)영화사 빅
181,밤의 해변에서 혼자,2017-03-23,"438,976,092",0.0%,"56,995",133,한국,한국,"(주)영화제작전원사 ,(주)콘텐츠판다"
182,래빗 스쿨,2017-11-23,"401,768,900",0.0%,"55,784",314,독일,독일,예지림엔터테인먼트
183,맨체스터 바이 더 씨,2017-02-15,"446,621,000",0.0%,"55,658",109,미국,미국,THE 픽쳐스
184,위시 어폰,2017-07-20,"434,148,000",0.0%,"55,110",279,미국,미국,(주)이수C&E
185,극장판 숲의 요정 페어리루 ~크리스마스의 기적: 마법의 날개~,2017-12-14,"424,665,700",0.0%,"54,988",207,일본,일본,"(주)이수C&E,(주)에이원엔터테인먼트"
186,매혹당한 사람들,2017-09-06,"412,751,500",0.0%,"54,026",395,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
187,튤립 피버,2017-12-14,"417,768,549",0.0%,"52,144",359,영국,"영국,미국",(주)팝엔터테인먼트
188,윈드 리버,2017-09-14,"391,538,700",0.0%,"50,813",330,미국,"미국,영국,캐나다",(주)유로커뮤니케이션
189,언더더씨,2017-06-22,"382,413,600",0.0%,"49,958",163,미국,미국,(주)팝엔터테인먼트
190,미스 슬로운,2017-03-29,"381,394,300",0.0%,"48,051",104,미국,"미국,프랑스",(주)메인타이틀픽쳐스
191,매기스 플랜,2017-01-25,"382,361,800",0.0%,"47,668",94,미국,미국,오드
192,잃어버린 도시 Z,2017-09-21,"362,053,440",0.0%,"47,088",398,미국,미국,(주)영화사 빅
193,심야식당 2,2017-06-08,"366,485,900",0.0%,"46,682",235,일본,일본,(주)디스테이션
194,마더!,2017-10-19,"368,306,382",0.0%,"46,677",398,미국,미국,롯데쇼핑㈜롯데엔터테인먼트
195,"그래, 가족",2017-02-15,"350,293,300",0.0%,"46,623",361,한국,한국,월트디즈니컴퍼니코리아 유한책임회사
196,리틀 프린세스 소피아: 엘레나와 비밀의 아발로 왕국,2017-04-13,"317,454,000",0.0%,"45,484",149,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
197,내가 죽기 전에 가장 듣고 싶은 말,2017-07-19,"332,742,600",0.0%,"45,347",154,미국,미국,"(주)메인타이틀픽쳐스,주식회사 키위컴퍼니"
198,댄서,2017-04-13,"363,899,049",0.0%,"45,034",43,영국,"영국,러시아,우크라이나,미국",(주)엣나인필름
199,"당신, 거기 있어줄래요",2016-12-14,"362,048,400",0.0%,"43,810",767,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
200,하이큐!! 재능과 센스,2017-11-15,"308,774,500",0.0%,"42,972",105,일본,일본,(주)이수C&E
201,꼬마돼지 베이브의 대모험,2017-06-15,"293,359,100",0.0%,"42,879",312,독일,독일,(주)박수엔터테인먼트
202,페이트 스테이 나이트 헤븐즈필 제1장 프레시지 플라워,2017-11-16,"338,294,000",0.0%,"42,413",172,일본,일본,(주)박수엔터테인먼트
203,예감은 틀리지 않는다,2017-08-10,"328,415,900",0.0%,"41,994",85,영국,영국,CGV아트하우스
204,"나, 다니엘 블레이크",2016-12-08,"290,372,700",0.0%,"41,248",63,영국,영국,(주)영화사 진진
205,레이디버그,2017-02-22,"310,291,500",0.0%,"41,041",172,한국,"한국,프랑스,일본",(주)삼지애니메이션
206,이모티: 더 무비,2017-08-02,"290,079,700",0.0%,"40,372",134,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
207,산상수훈,2017-12-07,"287,246,000",0.0%,"40,073",71,한국,한국,"이언픽쳐스,(주)그란"
208,스노든,2017-02-09,"325,020,562",0.0%,"40,040",278,프랑스,"프랑스,독일,미국",(주)리틀빅픽쳐스
209,흑집사 -북 오브 더 아틀란틱-,2017-04-13,"285,103,000",0.0%,"37,954",94,일본,일본,(주)박수엔터테인먼트
210,다시 태어나도 우리,2017-09-27,"290,883,943",0.0%,"37,364",118,한국,한국,(주)엣나인필름
211,극장판 프리파라 모두의 동경♪ 렛츠고☆프리파리,2017-12-28,"279,848,900",0.0%,"36,450",191,일본,일본,(주)박수엔터테인먼트
212,다크 하우스,2017-06-22,"295,604,100",0.0%,"36,350",278,미국,미국,"(주)스톰픽쳐스코리아,(주)디스테이션"
213,반지의 제왕 : 반지원정대 (확장판),2017-01-11,"470,027,900",0.0%,"35,758",74,뉴질랜드,"뉴질랜드,미국",(주)디스테이션
214,잠깐만 회사 좀 관두고 올게,2017-10-19,"279,455,400",0.0%,"35,429",271,일본,일본,(주)이수C&E
215,엘르,2017-06-15,"279,049,100",0.0%,"35,368",56,프랑스,"프랑스,독일,벨기에",소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
216,우리의 20세기,2017-09-27,"287,148,600",0.0%,"35,296",98,미국,미국,그린나래미디어(주)
217,키코리키: 황금모자의 비밀,2017-01-25,"248,074,100",0.0%,"35,111",211,러시아,러시아,(주)영화사 빅
218,피터와 모글리의 크리스마스 어드벤처,2017-11-23,"241,351,800",0.0%,"34,899",250,인도,인도,(주)팝엔터테인먼트
219,어메이징 메리,2017-10-04,"279,960,500",0.0%,"34,777",61,미국,미국,이십세기폭스코리아(주)
220,녹터널 애니멀스,2017-01-11,"284,555,179",0.0%,"34,616",219,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
221,파운더,2017-04-20,"275,304,900",0.0%,"34,593",288,미국,미국,CGV아트하우스
222,7번째 내가 죽던 날,2017-05-31,"261,785,400",0.0%,"34,502",230,미국,미국,씨네그루(주)키다리이엔티
223,더 플랜,2017-04-20,"263,526,895",0.0%,"34,225",156,한국,한국,(주)엣나인필름
224,극장판 위 베어 베어스: 곰 브라더스,2017-08-24,"230,410,600",0.0%,"32,021",307,미국,미국,(주)팝엔터테인먼트
225,루터,2017-10-18,"219,196,300",0.0%,"31,314",94,독일,독일,THE 픽쳐스
226,나는 부정한다,2017-04-26,"250,925,125",0.0%,"31,172",104,영국,"영국,미국",(주)티캐스트
227,단지 세상의 끝,2017-01-18,"242,177,173",0.0%,"30,793",124,캐나다,"캐나다,프랑스",(주)엣나인필름
228,"좋아해, 너를",2017-09-14,"265,102,800",0.0%,"30,714",101,일본,일본,(주)디오시네마
229,리빙보이 인 뉴욕,2017-11-09,"248,619,800",0.0%,"30,379",158,미국,미국,주식회사 더쿱
230,반지의 제왕 : 왕의 귀환 (확장판),2017-01-25,"370,268,000",0.0%,"30,349",56,뉴질랜드,"뉴질랜드,미국",(주)디스테이션
231,"나의 사랑, 그리스",2017-04-20,"241,875,000",0.0%,"30,181",123,그리스,그리스,(주)팝엔터테인먼트
232,역모-반란의 시대,2017-11-23,"218,173,300",0.0%,"30,116",355,한국,한국,(주)스톰픽쳐스코리아
233,너브,2017-01-11,"239,275,800",0.0%,"29,441",151,미국,미국,(주)박수엔터테인먼트
234,세 번째 살인,2017-12-14,"240,395,200",0.0%,"29,361",119,일본,일본,(주)티캐스트
235,패터슨,2017-12-21,"237,836,300",0.0%,"29,277",62,프랑스,"프랑스,독일,미국",그린나래미디어(주)
236,걸 온 더 트레인,2017-03-09,"222,516,500",0.0%,"29,190",331,미국,미국,씨제이이앤엠(주)
237,분노,2017-03-30,"232,610,537",0.0%,"28,822",99,일본,일본,메가박스중앙(주)플러스엠
238,매직울프,2017-10-03,"223,786,500",0.0%,"28,742",168,러시아,러시아,(주)박수엔터테인먼트
239,데스노트: 더 뉴 월드,2017-03-29,"220,886,363",0.0%,"28,723",309,일본,일본,(주)디스테이션
240,마리안느와 마가렛,2017-04-20,"198,613,400",0.0%,"28,399",64,한국,한국,(주)팝엔터테인먼트
241,극장판 암살교실 : 365일의 시간,2017-03-23,"210,398,500",0.0%,"28,364",98,일본,일본,(주)박수엔터테인먼트
242,스페이스 비트윈 어스,2017-03-16,"215,291,361",0.0%,"28,085",370,미국,미국,씨네그루(주)키다리이엔티
243,키드냅,2017-11-22,"214,871,800",0.0%,"27,854",167,미국,미국,(주)제이앤씨미디어그룹
244,반지의 제왕 : 두개의 탑 (확장판),2017-01-18,"350,183,800",0.0%,"27,440",58,뉴질랜드,"뉴질랜드,미국",(주)디스테이션
245,내게 남은 사랑을,2017-11-02,"180,693,600",0.0%,"27,414",156,한국,한국,(주)비엠컬쳐스
246,로스트 인 파리,2017-05-18,"215,575,038",0.0%,"27,203",85,프랑스,"프랑스,벨기에",그린나래미디어(주)
247,지니어스,2017-04-13,"209,372,437",0.0%,"27,167",172,영국,"영국,미국",(주)라이크 콘텐츠
248,재키,2017-01-25,"209,835,243",0.0%,"26,758",97,칠레,"칠레,프랑스,미국",그린나래미디어(주)
249,몬스터 섬의 비밀,2017-09-07,"184,568,800",0.0%,"26,739",150,멕시코,멕시코,(주)박수엔터테인먼트
250,아기돼지 3형제와 매직램프,2017-03-23,"208,444,600",0.0%,"26,670",135,중국,중국,(주)팝엔터테인먼트
251,메소드,2017-11-02,"215,611,800",0.0%,"26,577",244,한국,한국,(주)엣나인필름
252,배저로와 친구들: 신비한 모험,2017-10-26,"177,884,400",0.0%,"26,185",293,노르웨이,노르웨이,와이드 릴리즈(주)
253,슈퍼 버드,2017-04-06,"183,154,100",0.0%,"25,964",288,멕시코,멕시코,와이드 릴리즈(주)
254,부니베어: 로거빅 컴백홈 프로젝트,2017-06-29,"177,914,300",0.0%,"25,903",277,중국,중국,예지림엔터테인먼트
255,골드,2017-03-22,"195,316,900",0.0%,"25,612",200,미국,미국,CGV아트하우스
256,사다코 대 카야코,2017-01-04,"201,673,000",0.0%,"25,531",131,일본,일본,유니버설픽쳐스인터내셔널 코리아(유)
257,에곤 쉴레: 욕망이 그린 그림,2016-12-22,"205,010,000",0.0%,"25,457",50,오스트리아,"오스트리아 ,룩셈부르크",(주)티캐스트
258,언노운 걸,2017-05-03,"198,839,700",0.0%,"24,785",67,벨기에,"벨기에,프랑스",오드
259,"내 어깨 위 고양이, 밥",2017-01-04,"193,578,000",0.0%,"24,466",112,영국,영국,(주)누리픽쳐스
260,"안녕, 나의 소울메이트",2017-12-07,"191,541,500",0.0%,"24,381",165,홍콩,홍콩,(주)나이너스엔터테인먼트
261,슈퍼오리 : 태양을 지켜라,2017-08-31,"170,800,400",0.0%,"24,319",257,러시아,러시아,와이드 릴리즈(주)
262,꿈의 제인,2017-05-31,"198,890,200",0.0%,"24,272",86,한국,한국,"(주)엣나인필름,CGV아트하우스"
263,언프렌드,2017-02-09,"187,802,900",0.0%,"23,688",179,독일,독일,(주)크리픽쳐스
264,파워배틀 와치카: 와치가면의 역습,2017-06-01,"165,837,000",0.0%,"23,511",246,한국,한국,(주)삼지애니메이션
265,제인 도,2017-08-23,"183,431,765",0.0%,"23,467",110,영국,"영국,미국",오퍼스픽쳐스(유)
266,토마스와 친구들: 수수께끼 해적선과 보물찾기,2017-06-29,"155,824,700",0.0%,"23,395",145,영국,영국,KBS 미디어
267,아우토반,2017-03-22,"183,681,500",0.0%,"23,338",153,영국,"영국,독일",와이드 릴리즈(주)
268,레이디 맥베스,2017-08-03,"181,719,800",0.0%,"23,333",53,영국,영국,주식회사 씨네룩스
269,유리정원,2017-10-25,"160,437,700",0.0%,"22,752",332,한국,한국,(주)리틀빅픽쳐스
270,스테이션 7,2017-12-07,"169,220,100",0.0%,"22,536",239,러시아,러시아,(주)영화사 진진
271,송 투 송,2017-07-26,"172,525,100",0.0%,"22,518",97,미국,미국,CGV아트하우스
272,행복 목욕탕,2017-03-23,"168,599,600",0.0%,"21,797",103,일본,일본,(주)디스테이션
273,프란츠,2017-07-20,"150,974,100",0.0%,"20,760",47,프랑스,프랑스,찬란
274,빌리 진 킹: 세기의 대결,2017-11-16,"158,890,000",0.0%,"20,018",135,미국,"미국,영국",이십세기폭스코리아(주)
275,극장판 어드벤처 타임: 비밀의 아일랜드,2017-04-13,"163,679,600",0.0%,"19,986",125,미국,미국,(주)팝엔터테인먼트
276,아이 앰 히스 레저,2017-10-19,"158,340,439",0.0%,"19,771",139,캐나다,캐나다,오드
277,뚜르: 내 생애 최고의 49일,2017-02-01,"141,574,700",0.0%,"19,440",227,한국,한국,(주)리틀빅픽쳐스
278,부니베어: 나무 도둑의 습격,2017-09-14,"129,228,400",0.0%,"19,267",245,중국,중국,예지림엔터테인먼트
279,슬립리스: 크리미널 나이트,2017-03-08,"146,025,800",0.0%,"18,740",158,미국,미국,(주)미디어로그
280,그 후,2017-07-06,"142,319,508",0.0%,"18,648",168,한국,한국,"(주)영화제작전원사 ,(주)콘텐츠판다"
281,오즈의 마법사 2,2017-05-03,"143,173,700",0.0%,"18,535",142,멕시코,멕시코,㈜코리아스크린
282,은혼,2017-12-07,"148,853,500",0.0%,"18,323",137,일본,일본,(주)라이크 콘텐츠
283,신서유기 : 몽키킹의 부활,2017-11-02,"129,357,400",0.0%,"18,247",212,중국,중국,예지림엔터테인먼트
284,인카네이트,2017-05-25,"142,090,200",0.0%,"18,028",229,미국,미국,판씨네마(주)
285,배드 지니어스,2017-11-02,"141,276,336",0.0%,"17,941",200,태국,태국,(주)팝엔터테인먼트
286,"괜찮아요, 미스터 브래드",2017-09-21,"134,945,900",0.0%,"17,691",135,미국,미국,"(주)영화사 진진,(주)누리픽쳐스"
287,길,2017-05-11,"76,854,600",0.0%,"17,222",54,한국,한국,(주)더블앤조이픽쳐스
288,여배우는 오늘도,2017-09-14,"138,754,300",0.0%,"16,864",46,한국,한국,(주)메타플레이
289,매직키드 보보,2017-03-01,"124,253,200",0.0%,"16,601",219,말레이시아,말레이시아,(주)박수엔터테인먼트
290,7년-그들이 없는 언론,2017-01-12,"129,175,200",0.0%,"16,577",105,한국,한국,(주)인디플러그
291,하이큐!! 승자와 패자,2016-12-28,"118,605,000",0.0%,"16,515",103,일본,일본,"(주)이수C&E,(주)팝엔터테인먼트"
292,빅 배드 폭스,2017-11-30,"120,614,100",0.0%,"16,340",219,프랑스,프랑스,(주)스마일이엔티
293,링스,2017-04-06,"136,520,300",0.0%,"16,336",123,미국,미국,(주)다자인소프트
294,스파이 게임,2017-09-14,"122,840,172",0.0%,"15,986",203,영국,영국,메가박스중앙(주)플러스엠
295,십계: 구원의 길,2017-04-13,"104,079,500",0.0%,"15,974",97,브라질,브라질,씨네그루(주)키다리이엔티
296,호비와 무지개 오아시스 대모험,2017-09-07,"108,724,000",0.0%,"15,629",103,일본,일본,(주)머스트씨무비릴리징컴퍼니
297,로즈,2017-04-12,"113,253,541",0.0%,"14,955",125,아일랜드,아일랜드,(주)박수엔터테인먼트
298,콜로설,2017-04-20,"114,967,100",0.0%,"14,687",305,캐나다,"캐나다,스페인",(주)드림팩트엔터테인먼트
299,"귀향, 끝나지 않은 이야기",2017-09-14,"105,487,200",0.0%,"14,490",207,한국,한국,커넥트픽쳐스(주)
300,개구리왕국 2,2017-03-23,"99,741,700",0.0%,"14,236",171,중국,중국,예지림엔터테인먼트
