,관객 평점,전문가 평점,동영상,등급,상영 시간,제작 국가,관객수,개봉계절_봄,개봉계절_여름,개봉계절_가을,개봉계절_겨울,요일,장르_SF,장르_공포,장르_느와르,장르_다큐멘터리,장르_드라마,장르_멜로/로맨스,장르_모험,장르_뮤지컬,장르_미스터리,장르_범죄,장르_블랙코미디,장르_서스펜스,장르_스릴러,장르_애니메이션,장르_액션,장르_코미디,장르_판타지
0,9.04,6.09,20,15,137.0,1,12186327.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,7.83,5.92,17,12,139.0,1,8539495.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,8.27,5.00,17,15,125.0,1,7817446.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,8.37,7.00,8,12,133.0,0,7258678.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,9.14,6.00,14,18,121.0,1,6879841.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,5.28,6.17,16,15,132.0,1,6592151.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,8.31,5.10,13,15,109.0,1,5653270.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,8.09,6.83,17,15,134.0,1,5316325.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,8.79,7.00,13,0,129.0,0,5138193.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,8.39,5.00,14,18,141.0,0,4945484.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10,8.83,6.13,6,12,130.0,0,4853778.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,7.62,4.40,17,15,117.0,1,4018035.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12,8.34,7.18,19,15,139.0,1,4014293.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13,8.05,7.50,16,15,139.0,1,3849087.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,7.24,5.71,12,15,110.0,0,3689325.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15,8.96,6.00,13,15,136.0,0,3653238.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16,8.75,7.55,15,12,106.0,0,3637122.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
17,8.69,5.00,10,0,90.0,0,3324861.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
18,9.37,7.25,12,12,119.0,1,3279296.0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19,8.29,5.20,7,12,129.0,0,3049894.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20,7.58,6.00,18,18,125.0,1,2931897.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21,8.29,8.55,7,12,106.0,0,2788732.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22,8.93,6.25,10,12,136.0,0,2735721.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
23,7.69,5.78,14,15,118.0,1,2658589.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
24,6.29,2.83,29,12,151.0,0,2614601.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25,7.89,5.89,18,15,115.0,1,2588617.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
26,8.02,5.22,20,15,126.0,1,2514943.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
27,8.67,5.20,18,0,97.0,0,2451919.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
28,8.50,6.00,20,15,119.0,1,2421011.0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
29,8.09,6.70,22,12,129.0,1,2359174.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
30,9.16,6.40,10,0,113.0,0,2310054.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
31,8.10,5.77,19,15,143.0,1,2215221.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
32,9.06,7.55,12,18,137.0,0,2169109.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
33,7.69,6.70,6,12,141.0,0,2165401.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
34,8.26,7.14,4,15,104.0,0,2138146.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
35,7.92,7.75,16,12,140.0,0,2051315.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
36,9.23,8.08,12,15,129.0,1,1942077.0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
37,7.28,7.00,10,15,109.0,0,1934192.0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,8.91,6.67,9,12,109.0,1,1854867.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
39,7.73,5.83,10,12,120.0,0,1786383.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
40,8.40,5.60,17,15,125.0,0,1721757.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41,7.76,6.17,7,12,118.0,0,1689717.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
42,7.66,6.50,5,15,117.0,0,1675798.0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,7.71,5.63,21,12,114.0,1,1634403.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
44,7.27,5.80,10,12,102.0,1,1492903.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
45,8.16,5.67,16,15,109.0,1,1386611.0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
46,8.20,0,4,15,96.0,0,1382650.0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
47,6.51,5.00,10,18,128.0,1,1373316.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
48,7.39,5.91,16,15,130.0,1,1362634.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
49,8.13,7.11,13,15,122.0,0,1307226.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,6.16,5.80,5,15,100.0,1,1306438.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
51,6.95,5.40,14,18,123.0,1,1208081.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
52,6.49,6.00,19,15,117.0,1,1204600.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
53,8.59,8.34,12,12,127.0,0,1185287.0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
54,7.06,4.60,11,15,90.0,1,1129609.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
55,7.45,5.50,5,12,109.0,0,1028384.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
56,6.56,7.71,16,12,152.0,0,946547.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
57,6.23,5.83,16,18,120.0,1,939535.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
58,6.94,6.60,4,15,135.0,0,888836.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,8.01,5.88,11,12,114.0,0,863567.0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
60,7.28,6.50,17,15,130.0,1,837500.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
61,7.99,7.67,9,15,113.0,0,822656.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
62,9.38,6.60,18,12,104.0,0,814587.0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
63,9.17,0,3,0,79.0,1,773743.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64,8.38,6.00,17,18,106.0,0,765259.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
65,6.96,5.14,18,15,107.0,0,764072.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,8.71,5.50,28,0,92.0,0,675966.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
67,7.95,5.50,7,12,116.0,0,668576.0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
68,8.96,6.71,8,0,108.0,0,667513.0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
69,8.06,4.00,2,12,115.0,1,646924.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
70,8.19,7.29,4,12,116.0,0,634150.0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
71,7.24,4.00,10,15,89.0,0,590036.0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,7.08,5.83,9,0,103.0,0,535331.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
73,8.86,6.50,10,15,124.0,0,518886.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
74,7.80,5.56,14,12,137.0,0,511931.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
75,6.41,4.50,6,12,103.0,0,501486.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
76,7.79,6.09,13,15,125.0,1,494097.0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
77,8.51,5.50,4,0,109.0,0,487916.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
78,6.97,0,20,15,106.0,0,475309.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
79,4.23,2.67,5,18,137.0,1,470105.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
80,8.05,5.29,6,12,115.0,0,465265.0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
81,7.22,5.67,7,15,103.0,0,459984.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,8.80,6.00,4,12,113.0,0,450043.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
83,9.35,6.75,10,12,127.0,0,449518.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
84,7.50,6.50,9,15,110.0,1,446780.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
85,8.17,5.71,14,15,131.0,1,434777.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
86,8.74,0,8,0,72.0,1,429569.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
87,8.58,7.00,12,0,89.0,0,427764.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
88,8.45,7.16,13,12,133.0,0,422822.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
89,7.78,5.25,5,12,126.0,0,415714.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
90,8.85,6.00,8,0,98.0,0,415255.0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
91,8.78,5.00,6,0,91.0,1,411787.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
92,7.72,6.67,6,15,115.0,0,401541.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
93,9.21,7.50,14,15,107.0,0,384540.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
94,7.95,5.86,8,15,121.0,1,383336.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
95,6.90,4.67,22,12,115.0,1,381483.0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
96,8.57,0,5,0,90.0,0,366442.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
97,7.09,5.67,21,15,115.0,0,355913.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
98,9.22,6.00,4,12,90.0,0,354601.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
99,7.28,4.67,12,15,109.0,1,353043.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
100,8.24,5.90,10,15,97.0,1,351276.0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
101,6.55,6.43,6,15,100.0,1,347790.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
102,8.32,6.00,10,0,93.0,0,341614.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
103,9.17,6.71,9,12,115.0,0,336106.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
104,8.64,0,4,0,103.0,0,333082.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
105,8.01,6.00,20,12,110.0,1,324420.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
106,6.07,5.17,15,15,91.0,1,323628.0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
107,8.45,7.33,3,12,120.0,0,321550.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
108,7.98,8.22,7,15,163.0,0,321424.0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,8.88,0,9,0,92.0,0,320545.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
110,7.98,7.00,11,18,122.0,0,276379.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
111,8.43,7.60,6,0,129.0,0,275983.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
112,8.30,5.92,18,12,136.0,1,269781.0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
113,9.11,6.44,4,15,106.0,1,260512.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
114,4.96,4.33,7,18,91.0,1,238587.0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,7.70,6.00,18,15,114.0,1,234681.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
116,8.09,0,7,0,85.0,0,230068.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
117,8.31,5.00,4,0,90.0,0,215203.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
118,6.94,5.50,9,15,112.0,0,205368.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
119,8.52,0,6,0,89.0,0,202411.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
120,7.41,2.25,5,18,118.0,0,189620.0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
121,9.21,6.00,6,15,139.0,0,177601.0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
122,8.06,7.89,8,15,111.0,0,177483.0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
123,8.73,5.00,9,12,114.0,1,177428.0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
124,8.83,6.00,5,12,110.0,0,175518.0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
125,7.69,4.00,7,0,113.0,0,172414.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
126,8.85,6.00,5,0,101.0,0,167052.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
127,7.24,6.20,8,18,146.0,0,159948.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
128,7.89,6.43,4,18,114.0,0,155368.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
129,8.43,4.00,6,0,101.0,0,154966.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
130,5.97,3.25,11,15,117.0,1,149719.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
131,8.53,6.67,10,0,106.0,0,148760.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
132,9.34,6.00,4,0,80.0,1,141592.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
133,8.03,0,5,0,76.0,0,137052.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
134,6.78,3.00,12,15,108.0,1,134827.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
135,9.15,6.00,12,15,121.0,1,130119.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
136,7.60,4.71,10,15,100.0,1,128975.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
137,6.47,0,2,12,95.0,0,128472.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
138,8.80,6.38,4,0,89.0,0,126483.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
139,9.18,6.67,9,15,100.0,1,125402.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
140,8.24,0,8,0,89.0,0,124318.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
141,9.18,5.50,9,0,78.0,1,123206.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
142,8.84,0,4,0,96.0,0,119197.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
143,7.91,5.17,4,12,92.0,0,119171.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
144,9.15,0,12,15,70.0,0,119135.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
